T02,"Population, density and surface area",,,,,
882,Samoa,2015,Population aged 60+ years old (percentage),7.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2015,Population density,68.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2015,Surface area (thousand km2),3,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
882,Samoa,2019,Population mid-year estimates (millions),0.20,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2019,Population mid-year estimates for males (millions),0.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2019,Population mid-year estimates for females (millions),0.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2019,Sex ratio (males per 100 females),107.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2019,Population aged 0 to 14 years old (percentage),37.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2019,Population aged 60+ years old (percentage),7.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2019,Population density,69.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2019,Surface area (thousand km2),3,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
882,Samoa,2021,Population mid-year estimates (millions),0.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2021,Population mid-year estimates for males (millions),0.10,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2021,Population mid-year estimates for females (millions),0.10,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2021,Sex ratio (males per 100 females),107.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2021,Population aged 0 to 14 years old (percentage),37.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2021,Population aged 60+ years old (percentage),8.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2021,Population density,70.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2010,Population mid-year estimates (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2010,Population density,520.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2015,Population mid-year estimates (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2015,Population density,554.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
674,San Marino,2019,Population mid-year estimates (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2019,Population density,564.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2019,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
674,San Marino,2021,Population mid-year estimates (millions),0.03,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
674,San Marino,2021,Population density,566.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
678,Sao Tome and Principe,2010,Population mid-year estimates (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
678,Sao Tome and Principe,2010,Population mid-year estimates for males (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
